Table with row headers in column A and column headers in rows 4 through 6,,,,,,,,
"Table A-1.
Income Summary Measures by Selected Characteristics: 2023 and 2024",,,,,,,,
"(Income in 2024 dollars, adjusted using the C-CPI-U. Households as of March of the following year. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar25.pdf>)",,,,,,,,
Characteristic,2023,,,2024,,,"Percent change in
real median income
(2024 less 2023)*,2",
,Number (thousands),"Median income
(dollars)",,Number (thousands),"Median income
(dollars)",,,
,,Estimate,Margin of error1 (±),,Estimate,Margin of error1 (±),Estimate,Margin of error1 (±)
HOUSEHOLDS,,,,,,,,
All households,"132,200","82,690",651,"134,800","83,730","1,050",1.3,1.41
Type of Household,,,,,,,,
Family households,"84,680","105,500","1,232","85,960","108,600","1,466",*3.0,1.64
...Married-couple,"62,300","122,500","1,616","62,850","128,700","1,753",*5.0,1.81
"...Female householder, no spouse present","15,180","61,010","1,820","15,720","60,440","1,089",-0.9,3.02
"...Male householder, no spouse present","7,208","84,010","2,113","7,398","83,260","2,445",-0.9,3.77
Nonfamily households,"47,530","50,890",919,"48,830","50,960",703,0.1,2.03
...Female householder,"24,680","43,230",972,"25,320","44,870","1,256",*3.8,3.48
...Male householder,"22,850","58,680","1,221","23,510","58,000","1,866",-1.2,3.49
Race3 and Hispanic Origin of Householder,,,,,,,,
White,"101,900","86,820","1,212","103,100","88,010","1,272",1.4,1.88
"...White, not Hispanic","84,440","91,360","1,265","84,700","92,530","1,271",1.3,1.79
Black,"18,040","57,950","1,362","18,590","56,020","1,244",*-3.3,2.92
Asian,"7,655","115,800","4,295","8,304","121,700","3,993",*5.1,4.91
Hispanic (any race),"19,860","67,240","1,292","21,100","70,950","1,001",*5.5,2.19
Age of Householder,,,,,,,,
Under 65 years,"94,590","94,870","1,116","95,500","97,030","1,089",*2.3,1.54
...15 to 24 years,"5,881","56,350","2,944","6,012","60,310","2,128",*7.0,6.71
...25 to 34 years,"20,910","88,000","1,221","21,180","90,100","2,485",2.4,3.07
...35 to 44 years,"23,060","103,900","1,266","23,640","106,100","1,751",*2.1,1.87
...45 to 54 years,"21,660","113,600","1,936","21,740","116,800","2,556",*2.8,2.67
...55 to 64 years,"23,080","92,990","1,819","22,920","91,620","2,028",-1.5,2.73
65 years and older,"37,630","56,130","1,044","39,290","56,680",985,1.0,2.41
Nativity of Householder,,,,,,,,
Native-born,"110,300","83,820",701,"111,900","84,490","1,075",0.8,1.41
Foreign-born,"21,920","75,260","2,612","22,840","80,590","1,648",*7.1,3.96
...Naturalized citizen,"12,220","88,290","2,845","12,770","92,340","3,265",4.6,4.66
...Not a citizen,"9,700","63,030","1,138","10,080","70,160","3,138",*11.3,5.03
Region,,,,,,,,
Northeast,"22,590","88,480","1,863","23,200","92,000","2,792",*4.0,3.22
Midwest,"28,410","83,120","1,353","28,490","82,220","1,812",-1.1,2.52
South,"51,550","75,180","1,795","52,530","76,490",951,1.7,2.49
West,"29,670","90,580","2,270","30,570","94,650","2,301",*4.5,3.32
Residence4,,,,,,,,
Inside metropolitan statistical areas,"114,300","85,750","1,169","116,500","87,410","1,110",*1.9,1.71
...Inside principal cities,"43,910","75,440","1,587","44,700","77,450","1,615",*2.7,2.59
...Outside principal cities,"70,360","92,480","1,115","71,820","94,250","1,528",*1.9,1.83
Outside metropolitan statistical areas,"17,950","64,140","1,767","18,270","63,750","2,247",-0.6,3.88
Educational Attainment of Householder,,,,,,,,
"....Total, aged 25 and older","126,300","84,140",650,"128,800","85,580",846,*1.7,1.19
No high school diploma,"9,546","37,570","1,192","9,678","36,900","1,068",-1.8,3.89
"High school, no college","31,810","57,250","1,014","31,960","58,410","1,659",2.0,3.18
Some college,"33,830","75,510","1,580","34,540","76,520","1,042",1.3,2.29
Bachelor's degree or higher,"51,150","130,100","1,499","52,600","132,700","2,190",*2.0,1.83
*An asterisk preceding an estimate indicates change is statistically different from zero at the 90 percent confidence level.,,,,,,,,
"1 A margin of error (MOE) is a measure of an estimate's variability. The larger the MOE in relation to the size of the estimate, the less reliable the estimate. This number, when added to and subtracted from the estimate, forms the 90 percent confidence interval. MOEs shown in this table are based on standard errors calculated using replicate weights.",,,,,,,,
2 Calculated estimate may be different due to rounded components.,,,,,,,,
"3 Federal surveys give respondents the option of reporting more than one race. Therefore, two basic ways of defining a race group are possible. A group, such as Asian, may be defined as those who reported Asian and no other race (the race-alone or single-race concept) or as those who reported Asian regardless of whether they also reported another race (the race-alone-or-in-combination concept). This table shows data using the first approach (race alone). The use of the single-race population does not imply that it is the preferred method of presenting or analyzing data. The Census Bureau uses a variety of approaches. Data for American Indians and Alaska Natives, Native Hawaiians or Pacific Islanders, and those reporting Two or More Races are not shown separately.",,,,,,,,
4 Information on metropolitan statistical areas and principal cities is available at <www.census.gov/programs-surveys/metro-micro/about/glossary.html>.,,,,,,,,
"Note: Median income estimates are calculated using linear interpolation and $2,500 intervals. ",,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2024 and 2025 Annual Social and Economic Supplements (CPS ASEC; DMS number P-7534374, DRB approval number CBDRB-FY25-0384).",,,,,,,,
